Tick,Step,Animal_elevation,Animal_gain_from_elevation,Animal_reproduce,BioEnergy,Rule,0_Position,1_Position,ID
0,0,28,5,5,4,,37.0,44.0,40df43cf-768c-490a-b139-76814b6c59da
0,0,71,5,5,9,,19.0,14.0,2d3d6486-7079-4e30-a307-3c79a3f1c381
0,0,115,5,5,5,,28.0,36.0,96f53caf-952b-4029-8553-7c30c9cac812
0,0,37,5,5,9,,5.0,4.0,a4c52e06-8e6f-4082-b489-6ad5c179c421
0,0,167,5,5,7,,13.0,42.0,9b9bfb60-f91a-4218-b33a-fed3bf2351e7
0,0,74,5,5,1,,21.0,49.0,518263a7-03c3-4630-9d09-80263ee15b42
0,0,118,5,5,1,,42.0,1.0,00fc6a1f-c7aa-4d05-86fd-090e01dba052
0,0,99,5,5,9,,11.0,23.0,852f62ba-3173-4950-994c-dd6d26024b3c
0,0,60,5,5,1,,16.0,41.0,48e4df79-ee59-42e1-a9ff-15401300c2bc
0,0,62,5,5,8,,5.0,11.0,6ccd3974-8638-426c-be3c-9782bd359a7b
0,0,46,5,5,3,,5.0,42.0,9ed65929-63a0-48f9-af21-944e067f2bd8
0,0,66,5,5,7,,45.0,19.0,c92fb876-d09d-4c88-ab4f-85328d780160
0,0,117,5,5,3,,19.0,36.0,133d2087-de4c-4cc9-ae7b-de5dc613431b
0,0,56,5,5,8,,46.0,9.0,cf3c8efc-82f1-4fcf-b30e-90dc21229030
0,0,81,5,5,0,,12.0,25.0,df6e61c3-167e-4427-bca3-a5dfb448ffe5
0,0,93,5,5,0,,30.0,0.0,ac5bcd5b-0925-4583-883f-32e16bbd71a6
0,0,36,5,5,2,,37.0,36.0,8da168de-e9da-4f88-92fc-2b33c2b7b020
0,0,99,5,5,0,,11.0,24.0,1c0ff6aa-dbf2-415e-bdc2-3298138b4033
0,0,78,5,5,6,,23.0,23.0,ed797fde-9f4f-4df6-8fd9-23db0eeb63f4
0,0,74,5,5,3,,34.0,26.0,6bc33cf7-e032-4e7d-9e3c-f9565265554e
0,0,54,5,5,3,,2.0,44.0,87728ce3-a9d8-4ecd-bdce-e767c6df8781
0,0,126,5,5,0,,23.0,40.0,b11a16f5-280b-4b0f-92a9-4257bd93e5ea
0,0,81,5,5,3,,20.0,15.0,146a12b8-a34a-4a27-a2a9-0143b9829fc0
0,0,82,5,5,3,,3.0,27.0,1f5d62cb-97a2-485d-a480-4dffcc58d833
0,0,93,5,5,9,,17.0,41.0,35f01578-1566-4440-8f4a-be77cf0d9b08
0,0,139,5,5,3,,14.0,34.0,74d00c45-a504-4e5b-ba86-80d214741004
0,0,76,5,5,2,,8.0,30.0,34a36472-eb4c-42d4-bd66-07e7332a853f
0,0,56,5,5,2,,4.0,10.0,3901fb73-0bdf-4892-a6b4-813745ebf07d
0,0,35,5,5,1,,21.0,0.0,c165d6ac-9fcc-497c-8e91-eee5349ce42e
0,0,82,5,5,1,,49.0,2.0,a84fbf35-156d-4cd6-afc3-b52773874ab3
1,1,56,5,5,-2,R4 - Death by BioEnergy loss,36.0,45.0,40df43cf-768c-490a-b139-76814b6c59da
1,1,104,5,5,13,R1 - Move up in elevation,18.0,15.0,2d3d6486-7079-4e30-a307-3c79a3f1c381
1,1,115,5,5,-1,R4 - Death by BioEnergy loss,28.0,36.0,96f53caf-952b-4029-8553-7c30c9cac812
1,1,55,5,5,13,R1 - Move up in elevation,6.0,5.0,a4c52e06-8e6f-4082-b489-6ad5c179c421
1,1,185,5,5,6,R2 - Stay at same elevation,13.0,43.0,9b9bfb60-f91a-4218-b33a-fed3bf2351e7
1,1,84,5,5,0,R4 - Death by BioEnergy loss,20.0,49.0,518263a7-03c3-4630-9d09-80263ee15b42
1,1,137,5,5,5,R1 - Move up in elevation,41.0,1.0,00fc6a1f-c7aa-4d05-86fd-090e01dba052
1,1,137,5,5,3,R3 - Move down in elevation,10.0,24.0,852f62ba-3173-4950-994c-dd6d26024b3c
1,1,127,5,5,0,R4 - Death by BioEnergy loss,15.0,40.0,48e4df79-ee59-42e1-a9ff-15401300c2bc
1,1,70,5,5,12,R1 - Move up in elevation,4.0,12.0,6ccd3974-8638-426c-be3c-9782bd359a7b
1,1,88,5,5,-3,R4 - Death by BioEnergy loss,5.0,41.0,9ed65929-63a0-48f9-af21-944e067f2bd8
1,1,72,5,5,1,R3 - Move down in elevation,44.0,18.0,c92fb876-d09d-4c88-ab4f-85328d780160
1,1,139,5,5,-3,R4 - Death by BioEnergy loss,20.0,37.0,133d2087-de4c-4cc9-ae7b-de5dc613431b
1,1,104,5,5,12,R1 - Move up in elevation,45.0,9.0,cf3c8efc-82f1-4fcf-b30e-90dc21229030
1,1,100,5,5,-6,R4 - Death by BioEnergy loss,12.0,24.0,df6e61c3-167e-4427-bca3-a5dfb448ffe5
1,1,148,5,5,4,R1 - Move up in elevation,31.0,1.0,ac5bcd5b-0925-4583-883f-32e16bbd71a6
1,1,67,5,5,1,R2 - Stay at same elevation,36.0,35.0,8da168de-e9da-4f88-92fc-2b33c2b7b020
1,1,137,5,5,-6,R4 - Death by BioEnergy loss,10.0,24.0,1c0ff6aa-dbf2-415e-bdc2-3298138b4033
1,1,134,5,5,10,R1 - Move up in elevation,22.0,24.0,ed797fde-9f4f-4df6-8fd9-23db0eeb63f4
1,1,97,5,5,7,R1 - Move up in elevation,33.0,26.0,6bc33cf7-e032-4e7d-9e3c-f9565265554e
1,1,61,5,5,7,R1 - Move up in elevation,3.0,43.0,87728ce3-a9d8-4ecd-bdce-e767c6df8781
1,1,166,5,5,4,R1 - Move up in elevation,22.0,39.0,b11a16f5-280b-4b0f-92a9-4257bd93e5ea
1,1,95,5,5,7,R1 - Move up in elevation,21.0,15.0,146a12b8-a34a-4a27-a2a9-0143b9829fc0
1,1,82,5,5,-3,R4 - Death by BioEnergy loss,3.0,27.0,1f5d62cb-97a2-485d-a480-4dffcc58d833
1,1,111,5,5,3,R3 - Move down in elevation,16.0,40.0,35f01578-1566-4440-8f4a-be77cf0d9b08
1,1,173,5,5,7,R1 - Move up in elevation,13.0,35.0,74d00c45-a504-4e5b-ba86-80d214741004
1,1,141,5,5,-4,R4 - Death by BioEnergy loss,9.0,31.0,34a36472-eb4c-42d4-bd66-07e7332a853f
1,1,62,5,5,-4,R4 - Death by BioEnergy loss,5.0,11.0,3901fb73-0bdf-4892-a6b4-813745ebf07d
1,1,60,5,5,5,R1 - Move up in elevation,22.0,0.0,c165d6ac-9fcc-497c-8e91-eee5349ce42e
1,1,87,5,5,-5,R4 - Death by BioEnergy loss,48.0,2.0,a84fbf35-156d-4cd6-afc3-b52773874ab3
2,2,120,5,5,17,R1 - Move up in elevation,17.0,16.0,2d3d6486-7079-4e30-a307-3c79a3f1c381
2,2,55,5,5,17,R1 - Move up in elevation,6.0,5.0,a4c52e06-8e6f-4082-b489-6ad5c179c421
2,2,185,5,5,10,R1 - Move up in elevation,13.0,43.0,9b9bfb60-f91a-4218-b33a-fed3bf2351e7
2,2,137,5,5,9,R1 - Move up in elevation,41.0,1.0,00fc6a1f-c7aa-4d05-86fd-090e01dba052
2,2,137,5,5,7,R1 - Move up in elevation,10.0,24.0,852f62ba-3173-4950-994c-dd6d26024b3c
2,2,72,5,5,11,R2 - Stay at same elevation,3.0,13.0,6ccd3974-8638-426c-be3c-9782bd359a7b
2,2,95,5,5,5,R1 - Move up in elevation,44.0,17.0,c92fb876-d09d-4c88-ab4f-85328d780160
2,2,104,5,5,11,R2 - Stay at same elevation,45.0,9.0,cf3c8efc-82f1-4fcf-b30e-90dc21229030
2,2,165,5,5,8,R1 - Move up in elevation,31.0,2.0,ac5bcd5b-0925-4583-883f-32e16bbd71a6
2,2,67,5,5,5,R1 - Move up in elevation,36.0,35.0,8da168de-e9da-4f88-92fc-2b33c2b7b020
2,2,139,5,5,9,R2 - Stay at same elevation,21.0,25.0,ed797fde-9f4f-4df6-8fd9-23db0eeb63f4
2,2,100,5,5,11,R1 - Move up in elevation,32.0,27.0,6bc33cf7-e032-4e7d-9e3c-f9565265554e
2,2,76,5,5,11,R1 - Move up in elevation,4.0,42.0,87728ce3-a9d8-4ecd-bdce-e767c6df8781
2,2,166,5,5,8,R1 - Move up in elevation,22.0,39.0,b11a16f5-280b-4b0f-92a9-4257bd93e5ea
2,2,103,5,5,11,R1 - Move up in elevation,22.0,15.0,146a12b8-a34a-4a27-a2a9-0143b9829fc0
2,2,146,5,5,-3,R4 - Death by BioEnergy loss,15.0,39.0,35f01578-1566-4440-8f4a-be77cf0d9b08
2,2,208,5,5,11,R1 - Move up in elevation,12.0,35.0,74d00c45-a504-4e5b-ba86-80d214741004
2,2,60,5,5,7,R1 - Move up in elevation,22.0,0.0,c165d6ac-9fcc-497c-8e91-eee5349ce42e
3,3,122,5,5,21,R1 - Move up in elevation,16.0,17.0,2d3d6486-7079-4e30-a307-3c79a3f1c381
3,3,159,5,5,-1,R4 - Death by BioEnergy loss,35.0,9.0,9399126a-015e-468d-a34a-2cfd6e8fde05
3,3,18,5,5,3,R2 - Stay at same elevation,43.0,31.0,a8780678-5816-4bc4-8241-546317142707
3,3,55,5,5,11,R3 - Move down in elevation,6.0,5.0,a4c52e06-8e6f-4082-b489-6ad5c179c421
3,3,185,5,5,4,R3 - Move down in elevation,13.0,43.0,9b9bfb60-f91a-4218-b33a-fed3bf2351e7
3,3,137,5,5,13,R1 - Move up in elevation,41.0,1.0,00fc6a1f-c7aa-4d05-86fd-090e01dba052
3,3,137,5,5,11,R1 - Move up in elevation,10.0,24.0,852f62ba-3173-4950-994c-dd6d26024b3c
3,3,74,5,5,15,R1 - Move up in elevation,3.0,14.0,6ccd3974-8638-426c-be3c-9782bd359a7b
3,3,95,5,5,-1,R4 - Death by BioEnergy loss,44.0,17.0,c92fb876-d09d-4c88-ab4f-85328d780160
3,3,104,5,5,10,R2 - Stay at same elevation,45.0,9.0,cf3c8efc-82f1-4fcf-b30e-90dc21229030
3,3,169,5,5,2,R3 - Move down in elevation,31.0,3.0,ac5bcd5b-0925-4583-883f-32e16bbd71a6
3,3,67,5,5,9,R1 - Move up in elevation,36.0,35.0,8da168de-e9da-4f88-92fc-2b33c2b7b020
3,3,139,5,5,13,R1 - Move up in elevation,21.0,25.0,ed797fde-9f4f-4df6-8fd9-23db0eeb63f4
3,3,106,5,5,10,R2 - Stay at same elevation,31.0,26.0,6bc33cf7-e032-4e7d-9e3c-f9565265554e
3,3,88,5,5,10,R2 - Stay at same elevation,5.0,41.0,87728ce3-a9d8-4ecd-bdce-e767c6df8781
3,3,166,5,5,2,R3 - Move down in elevation,22.0,39.0,b11a16f5-280b-4b0f-92a9-4257bd93e5ea
3,3,110,5,5,10,R2 - Stay at same elevation,23.0,16.0,146a12b8-a34a-4a27-a2a9-0143b9829fc0
3,3,208,5,5,15,R1 - Move up in elevation,12.0,35.0,74d00c45-a504-4e5b-ba86-80d214741004
3,3,60,5,5,1,R3 - Move down in elevation,22.0,0.0,c165d6ac-9fcc-497c-8e91-eee5349ce42e
4,4,122,5,5,15,R3 - Move down in elevation,16.0,17.0,2d3d6486-7079-4e30-a307-3c79a3f1c381
4,4,36,5,5,2,R2 - Stay at same elevation,42.0,32.0,a8780678-5816-4bc4-8241-546317142707
4,4,55,5,5,15,R1 - Move up in elevation,6.0,5.0,a4c52e06-8e6f-4082-b489-6ad5c179c421
4,4,185,5,5,8,R1 - Move up in elevation,13.0,43.0,9b9bfb60-f91a-4218-b33a-fed3bf2351e7
4,4,137,5,5,17,R1 - Move up in elevation,41.0,1.0,00fc6a1f-c7aa-4d05-86fd-090e01dba052
4,4,137,5,5,10,R2 - Stay at same elevation,10.0,24.0,852f62ba-3173-4950-994c-dd6d26024b3c
4,4,92,5,5,19,R1 - Move up in elevation,3.0,15.0,6ccd3974-8638-426c-be3c-9782bd359a7b
4,4,104,5,5,14,R1 - Move up in elevation,45.0,9.0,cf3c8efc-82f1-4fcf-b30e-90dc21229030
4,4,169,5,5,6,R1 - Move up in elevation,31.0,3.0,ac5bcd5b-0925-4583-883f-32e16bbd71a6
4,4,67,5,5,13,R1 - Move up in elevation,36.0,35.0,8da168de-e9da-4f88-92fc-2b33c2b7b020
4,4,139,5,5,17,R1 - Move up in elevation,21.0,25.0,ed797fde-9f4f-4df6-8fd9-23db0eeb63f4
4,4,109,5,5,4,R3 - Move down in elevation,30.0,27.0,6bc33cf7-e032-4e7d-9e3c-f9565265554e
4,4,88,5,5,4,R3 - Move down in elevation,5.0,41.0,87728ce3-a9d8-4ecd-bdce-e767c6df8781
4,4,166,5,5,6,R1 - Move up in elevation,22.0,39.0,b11a16f5-280b-4b0f-92a9-4257bd93e5ea
4,4,111,5,5,4,R3 - Move down in elevation,22.0,17.0,146a12b8-a34a-4a27-a2a9-0143b9829fc0
4,4,208,5,5,9,R3 - Move down in elevation,12.0,35.0,74d00c45-a504-4e5b-ba86-80d214741004
4,4,60,5,5,5,R1 - Move up in elevation,22.0,0.0,c165d6ac-9fcc-497c-8e91-eee5349ce42e
5,5,122,5,5,19,R1 - Move up in elevation,16.0,17.0,2d3d6486-7079-4e30-a307-3c79a3f1c381
5,5,38,5,5,1,R2 - Stay at same elevation,41.0,33.0,a8780678-5816-4bc4-8241-546317142707
5,5,55,5,5,19,R1 - Move up in elevation,6.0,5.0,a4c52e06-8e6f-4082-b489-6ad5c179c421
5,5,185,5,5,12,R1 - Move up in elevation,13.0,43.0,9b9bfb60-f91a-4218-b33a-fed3bf2351e7
5,5,137,5,5,16,R2 - Stay at same elevation,41.0,1.0,00fc6a1f-c7aa-4d05-86fd-090e01dba052
5,5,137,5,5,4,R3 - Move down in elevation,10.0,24.0,852f62ba-3173-4950-994c-dd6d26024b3c
5,5,94,5,5,23,R1 - Move up in elevation,3.0,16.0,6ccd3974-8638-426c-be3c-9782bd359a7b
5,5,104,5,5,18,R1 - Move up in elevation,45.0,9.0,cf3c8efc-82f1-4fcf-b30e-90dc21229030
5,5,169,5,5,10,R1 - Move up in elevation,31.0,3.0,ac5bcd5b-0925-4583-883f-32e16bbd71a6
5,5,67,5,5,17,R1 - Move up in elevation,36.0,35.0,8da168de-e9da-4f88-92fc-2b33c2b7b020
5,5,139,5,5,21,R1 - Move up in elevation,21.0,25.0,ed797fde-9f4f-4df6-8fd9-23db0eeb63f4
5,5,109,5,5,6,R1 - Move up in elevation,30.0,27.0,6bc33cf7-e032-4e7d-9e3c-f9565265554e
5,5,88,5,5,8,R1 - Move up in elevation,5.0,41.0,87728ce3-a9d8-4ecd-bdce-e767c6df8781
5,5,166,5,5,5,R2 - Stay at same elevation,22.0,39.0,b11a16f5-280b-4b0f-92a9-4257bd93e5ea
5,5,115,5,5,3,R2 - Stay at same elevation,21.0,17.0,146a12b8-a34a-4a27-a2a9-0143b9829fc0
5,5,208,5,5,3,R3 - Move down in elevation,12.0,35.0,74d00c45-a504-4e5b-ba86-80d214741004
5,5,60,5,5,9,R1 - Move up in elevation,22.0,0.0,c165d6ac-9fcc-497c-8e91-eee5349ce42e
6,6,122,5,5,18,R2 - Stay at same elevation,16.0,17.0,2d3d6486-7079-4e30-a307-3c79a3f1c381
6,6,38,5,5,5,R1 - Move up in elevation,41.0,33.0,a8780678-5816-4bc4-8241-546317142707
6,6,55,5,5,13,R3 - Move down in elevation,6.0,5.0,a4c52e06-8e6f-4082-b489-6ad5c179c421
6,6,185,5,5,16,R1 - Move up in elevation,13.0,43.0,9b9bfb60-f91a-4218-b33a-fed3bf2351e7
6,6,137,5,5,10,R3 - Move down in elevation,41.0,1.0,00fc6a1f-c7aa-4d05-86fd-090e01dba052
6,6,137,5,5,1,R2 - Stay at same elevation,10.0,24.0,852f62ba-3173-4950-994c-dd6d26024b3c
6,6,108,5,5,17,R3 - Move down in elevation,4.0,17.0,6ccd3974-8638-426c-be3c-9782bd359a7b
6,6,104,5,5,22,R1 - Move up in elevation,45.0,9.0,cf3c8efc-82f1-4fcf-b30e-90dc21229030
6,6,169,5,5,9,R2 - Stay at same elevation,31.0,3.0,ac5bcd5b-0925-4583-883f-32e16bbd71a6
6,6,67,5,5,11,R3 - Move down in elevation,36.0,35.0,8da168de-e9da-4f88-92fc-2b33c2b7b020
6,6,82,5,5,7,R1 - Move up in elevation,26.0,10.0,204073e1-ffa5-44e6-9857-9ebb7232405b
6,6,139,5,5,20,R2 - Stay at same elevation,21.0,25.0,ed797fde-9f4f-4df6-8fd9-23db0eeb63f4
6,6,109,5,5,10,R1 - Move up in elevation,30.0,27.0,6bc33cf7-e032-4e7d-9e3c-f9565265554e
6,6,88,5,5,12,R1 - Move up in elevation,5.0,41.0,87728ce3-a9d8-4ecd-bdce-e767c6df8781
6,6,166,5,5,9,R1 - Move up in elevation,22.0,39.0,b11a16f5-280b-4b0f-92a9-4257bd93e5ea
6,6,125,5,5,-3,R4 - Death by BioEnergy loss,20.0,17.0,146a12b8-a34a-4a27-a2a9-0143b9829fc0
6,6,208,5,5,2,R2 - Stay at same elevation,12.0,35.0,74d00c45-a504-4e5b-ba86-80d214741004
6,6,60,5,5,13,R1 - Move up in elevation,22.0,0.0,c165d6ac-9fcc-497c-8e91-eee5349ce42e
7,7,122,5,5,22,R1 - Move up in elevation,16.0,17.0,2d3d6486-7079-4e30-a307-3c79a3f1c381
7,7,38,5,5,-3,R4 - Death by BioEnergy loss,41.0,33.0,a8780678-5816-4bc4-8241-546317142707
7,7,55,5,5,17,R1 - Move up in elevation,6.0,5.0,a4c52e06-8e6f-4082-b489-6ad5c179c421
7,7,185,5,5,20,R1 - Move up in elevation,13.0,43.0,9b9bfb60-f91a-4218-b33a-fed3bf2351e7
7,7,137,5,5,14,R1 - Move up in elevation,41.0,1.0,00fc6a1f-c7aa-4d05-86fd-090e01dba052
7,7,137,5,5,5,R1 - Move up in elevation,10.0,24.0,852f62ba-3173-4950-994c-dd6d26024b3c
7,7,108,5,5,16,R2 - Stay at same elevation,4.0,17.0,6ccd3974-8638-426c-be3c-9782bd359a7b
7,7,104,5,5,21,R2 - Stay at same elevation,45.0,9.0,cf3c8efc-82f1-4fcf-b30e-90dc21229030
7,7,169,5,5,13,R1 - Move up in elevation,31.0,3.0,ac5bcd5b-0925-4583-883f-32e16bbd71a6
7,7,67,5,5,15,R1 - Move up in elevation,36.0,35.0,8da168de-e9da-4f88-92fc-2b33c2b7b020
7,7,88,5,5,6,R2 - Stay at same elevation,27.0,9.0,204073e1-ffa5-44e6-9857-9ebb7232405b
7,7,139,5,5,19,R2 - Stay at same elevation,21.0,25.0,ed797fde-9f4f-4df6-8fd9-23db0eeb63f4
7,7,109,5,5,14,R1 - Move up in elevation,30.0,27.0,6bc33cf7-e032-4e7d-9e3c-f9565265554e
7,7,88,5,5,16,R1 - Move up in elevation,5.0,41.0,87728ce3-a9d8-4ecd-bdce-e767c6df8781
7,7,166,5,5,8,R2 - Stay at same elevation,22.0,39.0,b11a16f5-280b-4b0f-92a9-4257bd93e5ea
7,7,71,5,5,-3,R4 - Death by BioEnergy loss,33.0,20.0,8ada7dcc-bc44-48d7-8fd6-b5648b9cc90c
7,7,208,5,5,1,R2 - Stay at same elevation,12.0,35.0,74d00c45-a504-4e5b-ba86-80d214741004
7,7,60,5,5,17,R1 - Move up in elevation,22.0,0.0,c165d6ac-9fcc-497c-8e91-eee5349ce42e
8,8,122,5,5,21,R2 - Stay at same elevation,16.0,17.0,2d3d6486-7079-4e30-a307-3c79a3f1c381
8,8,55,5,5,3,R3 - Move down in elevation,6.0,5.0,a4c52e06-8e6f-4082-b489-6ad5c179c421
8,8,185,5,5,24,R1 - Move up in elevation,13.0,43.0,9b9bfb60-f91a-4218-b33a-fed3bf2351e7
8,8,137,5,5,18,R1 - Move up in elevation,41.0,1.0,00fc6a1f-c7aa-4d05-86fd-090e01dba052
8,8,137,5,5,4,R2 - Stay at same elevation,10.0,24.0,852f62ba-3173-4950-994c-dd6d26024b3c
8,8,108,5,5,20,R1 - Move up in elevation,4.0,17.0,6ccd3974-8638-426c-be3c-9782bd359a7b
8,8,104,5,5,25,R1 - Move up in elevation,45.0,9.0,cf3c8efc-82f1-4fcf-b30e-90dc21229030
8,8,169,5,5,12,R2 - Stay at same elevation,31.0,3.0,ac5bcd5b-0925-4583-883f-32e16bbd71a6
8,8,67,5,5,19,R1 - Move up in elevation,36.0,35.0,8da168de-e9da-4f88-92fc-2b33c2b7b020
8,8,93,5,5,10,R1 - Move up in elevation,28.0,9.0,204073e1-ffa5-44e6-9857-9ebb7232405b
8,8,139,5,5,23,R1 - Move up in elevation,21.0,25.0,ed797fde-9f4f-4df6-8fd9-23db0eeb63f4
8,8,109,5,5,8,R3 - Move down in elevation,30.0,27.0,6bc33cf7-e032-4e7d-9e3c-f9565265554e
8,8,88,5,5,20,R1 - Move up in elevation,5.0,41.0,87728ce3-a9d8-4ecd-bdce-e767c6df8781
8,8,166,5,5,12,R1 - Move up in elevation,22.0,39.0,b11a16f5-280b-4b0f-92a9-4257bd93e5ea
8,8,90,5,5,8,R1 - Move up in elevation,3.0,19.0,f6b73bdb-86da-484d-a543-394450bcd732
8,8,208,5,5,0,R4 - Death by BioEnergy loss,12.0,35.0,74d00c45-a504-4e5b-ba86-80d214741004
8,8,60,5,5,21,R1 - Move up in elevation,22.0,0.0,c165d6ac-9fcc-497c-8e91-eee5349ce42e
9,9,122,5,5,20,R2 - Stay at same elevation,16.0,17.0,2d3d6486-7079-4e30-a307-3c79a3f1c381
9,9,55,5,5,2,R2 - Stay at same elevation,6.0,5.0,a4c52e06-8e6f-4082-b489-6ad5c179c421
9,9,185,5,5,28,R1 - Move up in elevation,13.0,43.0,9b9bfb60-f91a-4218-b33a-fed3bf2351e7
9,9,137,5,5,22,R1 - Move up in elevation,41.0,1.0,00fc6a1f-c7aa-4d05-86fd-090e01dba052
9,9,195,5,5,15,R2 - Stay at same elevation,36.0,3.0,0ae192a4-d0dd-4e12-be6f-7bfa1715ab9c
9,9,137,5,5,-2,R4 - Death by BioEnergy loss,10.0,24.0,852f62ba-3173-4950-994c-dd6d26024b3c
9,9,108,5,5,19,R2 - Stay at same elevation,4.0,17.0,6ccd3974-8638-426c-be3c-9782bd359a7b
9,9,104,5,5,24,R2 - Stay at same elevation,45.0,9.0,cf3c8efc-82f1-4fcf-b30e-90dc21229030
9,9,169,5,5,16,R1 - Move up in elevation,31.0,3.0,ac5bcd5b-0925-4583-883f-32e16bbd71a6
9,9,67,5,5,23,R1 - Move up in elevation,36.0,35.0,8da168de-e9da-4f88-92fc-2b33c2b7b020
9,9,129,5,5,14,R1 - Move up in elevation,29.0,8.0,204073e1-ffa5-44e6-9857-9ebb7232405b
9,9,139,5,5,17,R3 - Move down in elevation,21.0,25.0,ed797fde-9f4f-4df6-8fd9-23db0eeb63f4
9,9,109,5,5,12,R1 - Move up in elevation,30.0,27.0,6bc33cf7-e032-4e7d-9e3c-f9565265554e
9,9,88,5,5,24,R1 - Move up in elevation,5.0,41.0,87728ce3-a9d8-4ecd-bdce-e767c6df8781
9,9,166,5,5,6,R3 - Move down in elevation,22.0,39.0,b11a16f5-280b-4b0f-92a9-4257bd93e5ea
9,9,90,5,5,2,R3 - Move down in elevation,3.0,19.0,f6b73bdb-86da-484d-a543-394450bcd732
9,9,60,5,5,25,R1 - Move up in elevation,22.0,0.0,c165d6ac-9fcc-497c-8e91-eee5349ce42e
10,10,122,5,5,19,R2 - Stay at same elevation,16.0,17.0,2d3d6486-7079-4e30-a307-3c79a3f1c381
10,10,55,5,5,6,R1 - Move up in elevation,6.0,5.0,a4c52e06-8e6f-4082-b489-6ad5c179c421
10,10,185,5,5,27,R2 - Stay at same elevation,13.0,43.0,9b9bfb60-f91a-4218-b33a-fed3bf2351e7
10,10,137,5,5,26,R1 - Move up in elevation,41.0,1.0,00fc6a1f-c7aa-4d05-86fd-090e01dba052
10,10,196,5,5,9,R3 - Move down in elevation,35.0,4.0,0ae192a4-d0dd-4e12-be6f-7bfa1715ab9c
10,10,108,5,5,23,R1 - Move up in elevation,4.0,17.0,6ccd3974-8638-426c-be3c-9782bd359a7b
10,10,104,5,5,23,R2 - Stay at same elevation,45.0,9.0,cf3c8efc-82f1-4fcf-b30e-90dc21229030
10,10,169,5,5,10,R3 - Move down in elevation,31.0,3.0,ac5bcd5b-0925-4583-883f-32e16bbd71a6
10,10,67,5,5,17,R3 - Move down in elevation,36.0,35.0,8da168de-e9da-4f88-92fc-2b33c2b7b020
10,10,197,5,5,13,R2 - Stay at same elevation,30.0,8.0,204073e1-ffa5-44e6-9857-9ebb7232405b
10,10,139,5,5,21,R1 - Move up in elevation,21.0,25.0,ed797fde-9f4f-4df6-8fd9-23db0eeb63f4
10,10,109,5,5,16,R1 - Move up in elevation,30.0,27.0,6bc33cf7-e032-4e7d-9e3c-f9565265554e
10,10,88,5,5,28,R1 - Move up in elevation,5.0,41.0,87728ce3-a9d8-4ecd-bdce-e767c6df8781
10,10,166,5,5,10,R1 - Move up in elevation,22.0,39.0,b11a16f5-280b-4b0f-92a9-4257bd93e5ea
10,10,90,5,5,6,R1 - Move up in elevation,3.0,19.0,f6b73bdb-86da-484d-a543-394450bcd732
10,10,60,5,5,29,R1 - Move up in elevation,22.0,0.0,c165d6ac-9fcc-497c-8e91-eee5349ce42e
